group,attempt,deployment_status,eligible,concurrency,round,status,completed,failed,events,output_throughput,request_throughput,duration,total_input_tokens,total_output_tokens,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p95_tpot_ms,mean_itl_ms,p95_itl_ms,mean_e2el_ms,p95_e2el_ms,good_requests,joint_pass_rate,request_goodput,remote_hits,d_prefill_computed,draft_tokens,accepted_tokens,acceptance_rate,nixl_bytes,mooncake_bytes
G4DP,G4DP-02,COMPLETE,True,64,3,COMPLETE,256,0,0,2433.273361740187,1.1881217586622006,215.4661322659813,6291456,524288,7205.572957806908,4261.202634079382,24361.385197436903,29121.427423937712,20.86933001889498,25.771904947351285,72.62426050686885,181.57281744061038,49925.09150648493,69528.29111379106,208,0.8125,0.9653489289130379,6291456.0,0.0,754210.0,373964.0,0.4958353774147784,60551331840.0,
G4DP,G4DP-02,COMPLETE,True,80,1,COMPLETE,320,0,0,2763.8647674955278,1.3495433435036757,237.11724528181367,7864320,655360,9194.073165236478,6158.903604489751,31555.887166480534,36613.80649861182,22.382346492810687,27.52386717987713,78.60672019696285,187.93491174001244,55010.73643601994,75987.32789021451,250,0.78125,1.0543307371122468,7864320.0,0.0,934175.0,469229.0,0.5022923970348168,75689164800.0,
G4DP,G4DP-02,COMPLETE,True,80,2,COMPLETE,320,0,0,2761.5402793741173,1.3484083395381432,237.31683542509563,7864320,655360,8955.142683993472,5434.055845020339,31497.143681894526,36270.11698707938,22.53765377790042,27.251011444643346,78.86294747568114,185.67797688301656,55089.71996735563,76323.24062838452,246,0.76875,1.0365889110199475,7864320.0,0.0,937595.0,468545.0,0.4997306939563458,75689164800.0,
G4DP,G4DP-02,COMPLETE,True,80,3,COMPLETE,320,0,0,2753.7831998310185,1.3446207030424895,237.98532870714553,7864320,655360,9172.628713889571,6089.339530444704,31466.69391843025,36681.0400386923,22.31661054577413,27.593761031596884,78.5877940398726,187.08375031128523,54854.730501089216,78325.44127382572,254,0.79375,1.067292683039976,7864320.0,0.0,935190.0,468994.0,0.501495952694105,75689164800.0,
G4PPM,G4PPM-01,COMPLETE,True,32,1,COMPLETE,128,0,0,1276.7331374399357,0.6234048522655936,205.32403547200374,3145728,262144,5438.738333143192,3353.052309481427,15455.409899225924,16550.00366745517,20.889825410617203,25.52765743140086,72.82519165727194,77.26098261773586,48200.21094867661,61517.243103531655,105,0.8203125,0.5113867928741198,3145728.0,0.0,376435.0,187177.0,0.4972359105821722,0,28648341504
G4PPM,G4PPM-01,COMPLETE,True,32,2,COMPLETE,128,0,0,1302.0925583616897,0.6357873820125438,201.32516564708203,3145728,262144,5598.21806765467,3087.7868024399504,15398.549038311465,16478.08271152899,20.314119476459073,24.226134635895235,72.46792850869446,76.99897084385155,47181.22063596638,57467.29511293815,105,0.8203125,0.5215443368071648,3145728.0,0.0,367880.0,188843.0,0.5133277155594216,0,28648341504
G4PPM,G4PPM-01,COMPLETE,True,32,3,COMPLETE,128,0,0,1265.4155313190681,0.6178786774018887,207.16040977207012,3145728,262144,5950.0882623615325,4206.265576416627,15434.800214832649,16586.586742815565,21.01488495895898,25.273726948301032,72.53064150918982,77.35526969190687,48967.55777335056,61455.316455010325,105,0.8203125,0.5068536025562369,3145728.0,0.0,380220.0,186353.0,0.4901188785440008,0,28648341504
G4PPM,G4PPM-01,COMPLETE,True,48,1,COMPLETE,192,0,0,1628.6487738384237,0.7952386591007928,241.43695455789566,4718592,393216,7038.034952027374,3836.7351515917107,21999.09199969843,23338.485579031985,23.944809638390133,29.124795517725634,83.5016369175521,149.82909874524918,56053.06028181197,70856.1712974566,152,0.7916666666666666,0.6295639384547943,4718592.0,0.0,564475.0,280744.0,0.4973541786615882,0,42972512256
G4PPM,G4PPM-01,COMPLETE,True,48,2,COMPLETE,192,0,0,1665.2699400330023,0.8131200879067394,236.12748332694173,4718592,393216,6789.192268603074,3996.839330648072,21957.920094404835,23272.834381901193,23.944298559495437,29.333289517167067,84.19084364213126,148.2328342273829,55803.17141989023,72633.74648534226,153,0.796875,0.647955070050683,4718592.0,0.0,559850.0,281680.0,0.5031347682414933,0,42972512256
G4PPM,G4PPM-01,COMPLETE,True,48,3,COMPLETE,192,0,0,1614.193581263257,0.7881804596011998,243.59903580602258,4718592,393216,6887.026618575571,4263.915952527896,21986.397422652226,23298.523757632356,24.177416038808147,29.722231470575508,84.29260077709031,134.127274318598,56378.19725001585,73576.61142708967,153,0.796875,0.628081303744706,4718592.0,0.0,564610.0,280680.0,0.4971219071571527,0,42972512256
G4PPM,G4PPM-01,COMPLETE,True,64,1,COMPLETE,256,0,0,1930.5755835436898,0.9426638591521923,271.5708229551092,6291456,524288,8094.400400501399,4516.305713914335,27571.408950025216,29933.700918836985,27.002165665250413,32.97928811734999,93.66890213087386,157.88920127088207,63367.83351726899,82633.83164943662,201,0.78515625,0.7401384206624635,6291456.0,0.0,756600.0,373452.0,0.49359238699444885,0,57296683008
G4PPM,G4PPM-01,COMPLETE,True,64,2,COMPLETE,256,0,0,1926.9481532177908,0.9408926529383744,272.0820480429102,6291456,524288,8078.222175624433,4425.099114421755,27642.248229822144,30092.573068744965,26.944081022415695,32.919739966450685,93.95627317234542,160.15691336942834,63232.75602850936,84008.06738674873,201,0.78515625,0.7387477470336455,6291456.0,0.0,752670.0,374280.0,0.4972697197975208,0,57296683008
G4PPM,G4PPM-01,COMPLETE,True,64,3,COMPLETE,256,0,0,1944.1520543810798,0.9492929953032616,269.6743800560944,6291456,524288,8039.629903893001,4348.305161460303,27560.472807090264,29924.74471762543,26.55090753418447,32.098233325415556,92.9352712474048,154.18488687137125,62389.337626368615,82557.50878126128,201,0.78515625,0.7453433283435765,6291456.0,0.0,749840.0,374882.0,0.49994932252213803,0,57296683008
G4PPM,G4PPM-01,COMPLETE,True,80,1,COMPLETE,320,0,0,2173.589676330441,1.061323084145723,301.51044934405945,7864320,655360,9415.242265217967,5872.488220455125,33717.59847622598,36662.36569888424,29.854176018635567,37.19340029947071,105.3907738318428,165.25579334702346,70526.74057536497,95982.48882177286,248,0.775,0.8225253902129355,7864320.0,0.0,929370.0,470141.0,0.5058706435542356,0,71620853760
G4PPM,G4PPM-01,COMPLETE,True,80,2,COMPLETE,320,0,0,2140.122582396465,1.044981729685774,306.22544960305095,7864320,655360,9332.74393301108,4922.621552017517,33603.04906920064,36651.66696384783,29.978086571007665,37.03858937685863,105.68410252369382,171.23442895244807,70697.88714386377,95290.76796744484,249,0.778125,0.8131264084117429,7864320.0,0.0,930635.0,469915.0,0.5049401752566796,0,71620853760
G4PPM,G4PPM-01,COMPLETE,True,80,3,COMPLETE,320,0,0,2140.8645211901317,1.045344004487369,306.1193239989225,7864320,655360,9429.875458191964,5297.947049490176,33608.540620910935,36583.36603980744,30.030744629160168,37.996713030397714,105.0516365134384,164.01491670403632,70902.80971408283,94945.43659072371,245,0.765625,0.8003415034356419,7864320.0,0.0,937870.0,468488.0,0.49952338810282876,0,71620853760
